9,child in a pink dress is climbing up a set of stairs in an entry way .
7,girl going into a wooden building .
7,little girl climbing into a wooden playhouse .
3,little girl climbing the stairs to her playhouse .
7,little girl in a pink dress going into a wooden cabin .
2,black dog and a spotted dog are fighting
2,black dog and a tri-colored dog playing with each other on the road .
2,black dog and a white dog with brown spots are staring at each other in the street .
3,dogs of different breeds looking at each other on the road .
0,dogs on pavement moving toward each other .
9,little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
7,little girl is sitting in front of a large painted rainbow .
9,small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
7,is a girl with pigtails sitting in front of a rainbow painting .
5,girl with pigtails painting outside in the grass .
0,man lays on a bench while his dog sits by him .
2,man lays on the bench to which a white dog is also tied .
1,man sleeping on a bench outside with a white and black dog sitting next to him .
2,shirtless man lies on a park bench with his dog .
0,laying on bench holding leash of dog sitting on ground
8,man in an orange hat starring at something .
0,man wears an orange hat and glasses .
0,man with gauges and glasses is wearing a Blitz hat .
0,man with glasses is wearing a beer can crocheted hat .
0,man with pierced ears is wearing glasses and an orange hat .
0,child playing on a rope net .
0,little girl climbing on red roping .
7,little girl in pink climbs a rope bridge at the park .
3,small child grips onto the red ropes at the playground .
1,small child climbs on a red ropes on a playground .
2,black and white dog is running in a grassy garden surrounded by a white fence .
2,black and white dog is running through the grass .
5,Boston terrier is running in the grass .
8,Boston Terrier is running on lush green grass in front of a white fence .
3,dog runs on the green grass near a wooden fence .
2,dog shakes its head near the shore , a red ball next to it .
2,white dog shakes on the edge of a beach with an orange ball .
0,with orange ball at feet , stands on shore shaking off water
3,dog playing with a red ball on the shore near the water .
2,dog with brown ears standing near water with head turned to one side .
9,boy smiles in front of a stony wall in a city .
1,little boy is standing on the street while a man in overalls is working on a stone wall .
3,young boy runs aross the street .
1,young child is walking on a stone paved street with a metal pole and a man behind him .
8,boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
2,black dog leaps over a log .
2,grey dog is leaping over a fallen tree .
2,large black dog leaps a fallen log .
4,mottled black and grey dog in a blue collar jumping over a fallen tree .
3,black dog jumped the tree stump .
2,brown and white dog is running through the snow .
5,dog is running in the snow
2,dog running through snow .
2,white and brown dog is running through a snow covered field .
3,white and brown dog is running over the surface of the snow .
9,man in a hat is displaying pictures next to a skier in a blue hat .
5,man skis past another man displaying paintings in the snow .
5,person wearing skis looking at framed pictures set up in the snow .
5,skier looks at framed pictures in the snow next to trees .
5,on skis looking at artwork for sale in the snow
0,collage of one person climbing a cliff .
0,group of people are rock climbing on a rock climbing wall .
0,group of people climbing a rock while one man belays
3,climbers are ascending a rock face whilst another man stands holding the rope .
5,climbers in a row are climbing the rock while the man in red watches and holds the line .
1,brown dog chases the water from a sprinkler on a lawn .
2,brown dog plays with the hose .
1,brown dog running on a lawn near a garden hose
2,dog is playing with a hose .
5,brown dog running away from the sprinkler in the grass .
4,dog prepares to catch a thrown object in a field with nearby cars .
2,white dog is about to catch a yellow ball in its mouth .
2,white dog is about to catch a yellow dog toy .
2,white dog is ready to catch a yellow ball flying through the air .
2,white dog running after a yellow ball
2,black and white dog jumping in the air to get a toy .
2,black and white dog jumps up towards a yellow toy .
4,dog leaps to catch a ball in a field .
4,white dog is trying to catch a ball in midair over a grassy field .
4,white dog is playing in a green field with a yellow toy .
4,child and a woman are at waters edge in a big city .
5,large lake with a lone duck swimming in it with several people around the edge of it .
4,little boy at a lake watching a duck .
5,young boy waves his hand at the duck in the water surrounded by a green park .
3,people are at the edge of a lake , facing the water and the city skyline .
6,couple and an infant , being held by the male , sitting next to a pond with a near by stroller .
3,couple sit on the grass with a baby and stroller .
4,couple with their newborn baby sitting under a tree facing a lake .
3,man and woman care for an infant along the side of a body of water .
0,with a baby sit outdoors next to their stroller .
5,black dog running in the surf .
5,black lab with tags frolicks in the water .
5,dog splashes in the water
3,black dog runs through the water .
5,is a black dog splashing in the water .
5,man drilling a hole in the ice .
3,man is drilling through the frozen ice of a pond .
5,person in the snow drilling a hole in the ice .
0,person standing on a frozen lake .
0,men are ice fishing .
3,different breeds of brown and white dogs play on the beach .
1,dogs are making a turn on a soft sand beach .
5,dogs playing in the sand at the beach .
0,dogs playing together on a beach .
0,large tan dogs play along a sandy beach .
0,man uses ice picks and crampons to scale ice .
9,ice climber in a blue jacket and black pants is scaling a frozen ice wall .
0,ice climber scaling a frozen waterfall .
8,person in blue and red ice climbing with two picks .
0,climbing an ice wall
2,black dog carries a green toy in his mouth as he walks through the grass .
2,black dog carrying something through the grass .
2,black dog has a blue toy in its mouth .
8,dog in grass with a blue item in his mouth .
2,wet black dog is carrying a green toy through the grass .
1,man and a baby are in a yellow kayak on water .
9,man and a little boy in blue life jackets are rowing a yellow canoe .
0,man and child kayak through gentle waters .
8,man and young boy ride in a yellow kayak .
8,and child in yellow kayak
2,black dog and a brown dog are jumping up to catch a red toy .
1,black dog and a brown dog play with a red toy on a courtyard .
2,brown and black lab are outside and the black lab is catching a toy in its mouth .
2,dog snaps at red and black object as brown dog lunges .
5,Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .
4,boy with a stick kneeling in front of a goalie net
4,child in a red jacket playing street hockey guarding a goal .
5,young kid playing the goalie in a hockey rink .
9,young male kneeling in front of a hockey goal with a hockey stick in his right hand .
8,goalie boy in red jacket crouches by goal , with stick .
9,man in black is sitting next to a modern art structure in front of a glass building .
4,man sits and reads a newspaper by a sculpture outside of an office building .
0,man sits near a large statue .
9,man sitting in front of a metal sculpture in front of a building .
5,man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .
3,tent is being set up on the ice .
0,men are about to enter an ice fishing tent on a snow covered lake .
0,men setting up a blue ice fishing hut on an iced over lake
6,men , standing on an ice , looking into something covered with a blue tarp .
1,people standing outside a blue tent structure on a snowy surface .
8,woman crouches near three dogs in a field .
0,dogs are playing on grassy hill with a blue sky .
5,dogs are standing in the grass and a person is sitting next to them
0,dogs on a grassy hill
